小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,Gb:m,31,
2,0,,Gb:m,31,
2,1,,E:M,5,
2,2,,Gb:m,31,
2,3,,B:m,36,
3,0,,Db:M,2,
3,3,,A:M,10,
4,0,,A:M,10,
4,1,,Db:M,2,
4,2,,Gb:m,31,
4,3,,B:m,36,
5,0,,Db:M,2,
6,0,,Gb:m,31,
6,1,,E:m,29,
6,2,,A:M,10,
6,3,,Gb:m,31,
7,0,,B:V,24,
7,1,,E:M,5,
7,2,,A:M,10,
8,0,,D:M,3,
8,1,,B:m,36,
8,2,,Gb:m,31,
9,0,,A:M,10,
10,0,,E:M,5,
10,1,,A:M,10,
10,2,,Gb:m,31,
10,3,,A:M,10,
11,0,,B:V,24,
11,1,,B:M,12,
11,2,,E:M,5,
12,0,,Db:M,2,
12,2,,Gb:m,31,
12,3,,B:m,36,
13,0,,B:m,36,
13,1,,Db:M,2,
13,2,,Gb:M,7,
