小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,E:m,29,
2,0,,Gb:M,7,
2,1,,B:m,36,
2,1.5,,Gb:M,7,
2,2,,B:m,36,
2,3,,Gb:V,19,
3,0,,B:m,36,
3,1,,Gb:M,7,
3,2,,B:M,12,
4,0,,E:m,29,
4,1,,D:M,3,
4,2,,G:M,8,
4,2.5,,B:V,24,
4,3,,E:m,29,
5,0,,A:m,34,
5,1,,B:M,12,
5,2,,E:m,29,
6,0,,Gb:M,7,
6,1,,B:m,36,
6,1.5,,Gb:M,7,
6,2,,B:m,36,
6,3,,Gb:V,19,
7,0,,B:m,36,
7,1,,Gb:M,7,
7,2,,B:M,12,
8,0,,E:m,29,
8,1,,D:M,3,
8,2,,G:M,8,
8,2.5,,B:V,24,
8,3,,E:m,29,
9,0,,A:m,34,
9,1,,B:M,12,
9,2,,E:m,29,
10,0,,E:m,29,
10,2,,A:m,34,
10,3.5,,B:V,24,
11,0,,E:m,29,
11,1,,D:M,3,
11,2,,G:M,8,
12,0,,E:m,29,
12,1,,Eb:d,40,
12,2,,E:M,5,
12,3,,Gb:M,7,
13,0,,B:m,36,
13,1,,Gb:M,7,
13,2,,B:m,36,
13,3,,Db:d,38,
14,0,,D:M,3,
14,1,,G:M,8,
14,3,,D:M,3,
15,0,,E:m,29,
15,1,,B:V,24,
15,2,,C:M,1,
16,0,,G:M,8,
16,1,,B:V,24,
16,2,,E:m,29,
16,3,,C:M,1,
17,0,,A:m,34,
17,1,,B:M,12,
17,1.5,,B:V,24,
17,2,,E:M,5,
