小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,G:m,32,
2,0,,C:m,25,
2,2,,D:M,3,
2,3,,G:m,32,
3,0,,G:m,32,
3,1,,D:M,3,
3,2,,G:m,32,
4,0,,F:M,6,
4,2,,Bb:M,11,
5,0,,C:m,25,
5,2,,D:M,3,
6,0,,G:m,32,
6,1,,C:M,1,
6,2,,D:M,3,
6,3,,G:m,32,
7,0,,C:m,25,
7,1,,D:M,3,
7,2,,G:m,32,
7,3,,Eb:M,4,
8,0,,Bb:M,11,
8,1,,G:m,32,
8,2,,C:m,25,
8,3,,Bb:M,11,
9,0,,G:M,8,
9,1,,C:m,25,
9,2,,G:M,8,
9,3,,F:M,6,
10,0,,Bb:M,11,
10,1,,C:m,25,
10,2,,Eb:M,4,
10,3,,Bb:M,11,
11,0,,D:M,3,
11,1,,D:V,15,
11,2,,G:m,32,
12,0,,A:V,22,
12,1,,D:m,27,
12,2,,G:m,32,
12,3,,F:M,6,
13,0,,Bb:M,11,
13,1,,G:m,32,
13,2,,C:m,25,
13,3,,F:M,6,
14,0,,Bb:M,11,
14,2,,Eb:M,4,
15,0,,Bb:M,11,
15,1,,C:m,25,
15,2,,F:M,6,
15,3,,F:V,18,
16,0,,Bb:M,11,
17,0,,D:M,3,
17,1,,G:m,32,
17,2,,C:m,25,
18,0,,G:M,8,
18,2,,F:M,6,
18,3,,Bb:M,11,
19,0,,Eb:M,4,
19,1,,Bb:M,11,
20,0,,Eb:M,4,
20,1,,Bb:M,11,
21,0,,F:M,6,
21,2,,Bb:M,11,
22,0,,Bb:M,11,
22,1,,D:M,3,
22,2,,G:m,32,
22,3,,C:m,25,
23,0,,Eb:M,4,
23,1,,C:m,25,
23,2,,Eb:M,4,
24,0,,Bb:M,11,
24,1,,Eb:M,4,
24,2,,Bb:M,11,
24,3,,G:V,20,
25,0,,C:m,25,
25,3,,D:m,27,
26,0,,C:m,25,
26,2,,Bb:M,11,
26,3,,D:m,27,
27,0,,B:d,48,
27,1,,C:m,25,
27,2,,G:m,32,
27,3,,D:M,3,
28,0,,G:M,8,
