小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,Eb:M,4,
2,0,,Eb:M,4,
2,2,,Bb:M,11,
3,0,,Eb:M,4,
3,2,,Bb:M,11,
4,0,,C:m,25,
4,2,,F:M,6,
5,0,,Bb:M,11,
6,0,,Bb:M,11,
7,0,,Eb:M,4,
8,0,,Eb:M,4,
9,0,,Bb:M,11,
9,2,,F:V,18,
10,0,,Bb:M,11,
10,2,,F:M,6,
11,0,,Bb:M,11,
12,0,,Bb:M,11,
12,2,,Eb:M,4,
13,0,,Ab:M,9,
13,2,,Eb:M,4,
14,0,,Ab:M,9,
14,2,,C:m,25,
15,0,,F:m,30,
15,2,,Bb:M,11,
16,0,,Eb:M,4,
17,0,,Eb:M,4,
18,0,,Eb:M,4,
18,2,,Bb:M,11,
19,0,,Eb:M,4,
19,2,,Bb:M,11,
20,0,,C:m,25,
20,2,,F:M,6,
21,0,,Bb:M,11,
22,0,,Bb:M,11,
23,0,,Eb:M,4,
24,0,,Eb:M,4,
25,0,,Bb:M,11,
25,2,,F:V,18,
26,0,,Bb:M,11,
26,2,,F:M,6,
27,0,,Bb:M,11,
28,0,,Bb:M,11,
28,2,,Eb:M,4,
29,0,,Ab:M,9,
29,2,,Eb:M,4,
30,0,,Ab:M,9,
30,2,,C:m,25,
31,0,,F:V,18,
31,2,,Bb:M,11,
32,0,,Eb:M,4,
33,0,,Eb:M,4,
33,2,,Bb:M,11,
34,0,,Eb:M,4,
34,2,,F:M,6,
35,0,,Eb:M,4,
35,2,,Bb:M,11,
36,0,,C:m,25,
37,0,,C:m,25,
37,2,,G:m,32,
38,0,,Bb:M,11,
39,0,,C:m,25,
39,2,,Bb:M,11,
40,0,,Eb:M,4,
41,0,,Eb:M,4,
41,2,,Bb:M,11,
42,0,,Eb:M,4,
42,2,,F:V,18,
43,0,,Eb:M,4,
44,0,,Eb:M,4,
45,0,,F:V,18,
45,2,,G:M,8,
46,0,,C:m,25,
47,0,,Eb:M,4,
47,2,,Bb:M,11,
48,0,,Eb:M,4,
49,0,,Eb:M,4,
50,0,,Ab:M,9,
50,2,,C:m,25,
51,0,,F:V,18,
51,2,,Bb:V,23,
52,0,,Eb:M,4,
