小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,Bb:M,11,
1,1,,F:M,6,
1,2,,Bb:M,11,
1,3,,F:M,6,
2,0,,G:m,32,
2,1,,F:M,6,
2,2,,C:M,1,
2,3,,F:M,6,
3,0,,G:m,32,
3,1,,F:M,6,
3,2,,Bb:M,11,
3,3,,Eb:M,4,
4,0,,Bb:M,11,
4,1,,F:M,6,
4,2,,Bb:M,11,
5,0,,Bb:M,11,
5,1,,F:M,6,
5,2,,Bb:M,11,
5,3,,F:M,6,
6,0,,G:m,32,
6,1,,F:M,6,
6,2,,C:M,1,
6,3,,F:M,6,
7,0,,G:m,32,
7,1,,F:M,6,
7,2,,Bb:M,11,
7,3,,Eb:M,4,
8,0,,Bb:M,11,
8,1,,F:M,6,
8,2,,Bb:M,11,
9,0,,Bb:M,11,
9,1,,C:m,25,
9,2,,D:m,27,
9,2.5,,B:d,48,
9,3,,C:m,25,
10,0,,G:m,32,
10,1,,C:m,25,
10,2,,D:M,3,
11,0,,Bb:M,11,
11,2,,Eb:M,4,
11,3,,F:M,6,
12,0,,Eb:M,4,
12,1,,Bb:M,11,
12,2,,F:M,6,
13,0,,Bb:M,11,
13,2,,C:m,25,
13,3,,Bb:M,11,
14,0,,Eb:M,4,
14,1,,A:d,46,
14,2,,Bb:M,11,
14,3,,D:M,3,
15,0,,G:m,32,
15,3,,D:d,39,
16,0,,C:m,25,
16,1,,G:m,32,
16,2,,F:M,6,
16,3,,Bb:M,11,
17,0,,F:M,6,
17,1.5,,F:V,18,
17,2,,Bb:M,11,
