小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,C:M,1,
1,1,,G:M,8,
1,2,,C:M,1,
1,3,,G:M,8,
2,0,,A:m,34,
2,1,,G:M,8,
2,2,,D:M,3,
2,3,,G:M,8,
3,0,,C:M,1,
3,1,,G:M,8,
3,2,,C:M,1,
3,3,,G:M,8,
4,0,,C:M,1,
4,1,,G:M,8,
4,2,,C:M,1,
5,0,,C:M,1,
5,1,,G:M,8,
5,2,,C:M,1,
5,3,,G:M,8,
6,0,,A:m,34,
6,1,,G:M,8,
6,2,,D:M,3,
6,3,,G:M,8,
7,0,,C:M,1,
7,1,,D:m,27,
7,2,,C:M,1,
7,3,,G:M,8,
8,0,,C:M,1,
8,1,,G:M,8,
8,2,,C:M,1,
9,0,,C:M,1,
9,1,,F:M,6,
9,2,,C:V,13,
9,3,,F:M,6,
10,0,,A:V,22,
10,1,,D:m,27,
10,2,,A:M,10,
11,0,,C:M,1,
11,2,,F:M,6,
11,3,,G:M,8,
12,0,,F:M,6,
12,1,,C:M,1,
12,2,,G:M,8,
13,0,,C:M,1,
13,2,,D:m,27,
13,3,,C:M,1,
14,0,,F:M,6,
14,1,,D:M,3,
14,2,,G:M,8,
14,3,,E:M,5,
15,0,,A:m,34,
15,2,,C:V,13,
16,0,,D:m,27,
16,1,,C:M,1,
16,2,,G:M,8,
16,3,,C:M,1,
17,0,,G:M,8,
17,2,,C:M,1,
