小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,A:M,10,
1,1,,E:M,5,
1,2,,A:M,10,
1,3,,B:M,12,
2,0,,B:V,24,
2,1,,E:M,5,
2,2,,A:M,10,
2,3,,B:V,24,
3,0,,E:M,5,
3,2,,Gb:m,31,
3,3,,E:M,5,
4,0,,A:M,10,
4,1,,B:m,36,
4,2,,A:M,10,
4,3,,E:M,5,
5,0,,A:M,10,
6,0,,A:M,10,
6,1,,E:M,5,
6,2,,A:M,10,
6,3,,B:M,12,
7,0,,B:V,24,
7,1,,E:M,5,
7,2,,A:M,10,
7,3,,B:M,12,
8,0,,E:M,5,
8,2,,Gb:m,31,
8,3,,E:M,5,
9,0,,A:M,10,
9,1,,B:m,36,
9,2,,A:M,10,
9,3,,E:M,5,
10,0,,A:M,10,
11,0,,A:M,10,
11,1,,G:M,8,
11,2,,E:m,29,
11,2.5,,Gb:V,19,
11,3,,B:m,36,
11,3.5,,E:V,17,
12,0,,Gb:M,7,
12,1,,G:M,8,
12,2,,Gb:M,7,
13,0,,A:M,10,
13,2,,B:m,36,
13,3,,E:M,5,
14,0,,D:M,3,
14,0.5,,E:V,17,
14,1,,A:M,10,
14,2,,E:M,5,
15,0,,A:M,10,
15,2,,D:M,3,
15,3,,Db:M,2,
16,0,,Gb:m,31,
16,1,,B:m,36,
16,2,,Gb:m,31,
16,3,,Db:M,2,
17,0,,Gb:m,31,
17,2,,Gb:M,7,
17,3,,Gb:V,19,
18,0,,B:m,36,
18,1,,A:M,10,
18,2,,E:M,5,
18,3,,A:M,10,
19,0,,E:M,5,
19,2,,A:M,10,
