小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,C:M,1,
2,0,,C:M,1,
2,0.5,,G:M,8,
3,0,,C:M,1,
4,0,,C:M,1,
4,0.5,,Gb:d,43,
5,0,,G:M,8,
6,0,,G:M,8,
6,0.5,,G:V,20,
7,0,,C:M,1,
7,1,,B:d,48,
8,0,,B:d,48,
8,0.5,,C:M,1,
9,0,,G:M,8,
10,0,,G:M,8,
10,0.5,,C:M,1,
11,0,,C:M,1,
12,0,,C:M,1,
12,0.5,,G:M,8,
13,0,,C:M,1,
14,0,,C:M,1,
14,0.5,,Gb:d,43,
15,0,,G:M,8,
16,0,,G:M,8,
16,0.5,,G:V,20,
17,0,,C:M,1,
17,1,,B:d,48,
18,0,,B:d,48,
18,0.5,,C:M,1,
19,0,,G:M,8,
20,0,,G:M,8,
20,0.5,,C:M,1,
22,0,,C:M,1,
22,0.5,,A:m,34,
23,0,,D:m,27,
25,0,,A:m,34,
26,0,,A:m,34,
26,0.5,,G:V,20,
27,0,,C:M,1,
28,0,,G:V,20,
28,0.5,,C:M,1,
29,0,,G:M,8,
31,0,,G:M,8,
31,1,,D:m,27,
32,0,,D:m,27,
32,0.5,,G:M,8,
33,0,,C:M,1,
33,1,,G:M,8,
34,0,,G:M,8,
34,0.5,,C:M,1,
35,0,,G:M,8,
36,0,,G:M,8,
36,0.5,,C:M,1,
