小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,Bb:M,11,
2,0,,Bb:M,11,
2,1,,F:M,6,
2,2,,Bb:M,11,
2,3,,Eb:M,4,
3,0,,Bb:M,11,
3,1,,F:M,6,
3,2,,Bb:M,11,
3,3,,Eb:M,4,
4,0,,F:M,6,
4,1,,Eb:M,4,
4,2,,Bb:M,11,
4,3,,Eb:M,4,
5,0,,F:M,6,
5,1,,F:V,18,
5,2,,Bb:M,11,
6,0,,Bb:M,11,
6,1,,F:M,6,
6,2,,Bb:M,11,
6,3,,Eb:M,4,
7,0,,Bb:M,11,
7,1,,F:M,6,
7,2,,Bb:M,11,
7,3,,Eb:M,4,
8,0,,F:M,6,
8,1,,Eb:M,4,
8,2,,Bb:M,11,
8,3,,Eb:M,4,
9,0,,F:M,6,
9,2,,Bb:M,11,
10,0,,Eb:M,4,
10,1,,C:M,1,
10,2,,F:M,6,
10,3,,F:V,18,
11,0,,Bb:M,11,
11,2,,Eb:M,4,
11,3,,Bb:M,11,
12,0,,C:M,1,
12,1,,Bb:M,11,
12,2,,F:M,6,
12,3,,G:m,32,
13,0,,C:M,1,
13,1,,C:V,13,
13,2,,F:M,6,
13,3,,Bb:M,11,
14,0,,Eb:M,4,
14,1,,Bb:M,11,
14,2,,F:M,6,
14,3,,Bb:M,11,
15,0,,F:M,6,
15,2,,Bb:M,11,
