小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,D:M,3,
1,2,,G:M,8,
1,3,,E:m,29,
2,0,,A:M,10,
2,1,,Gb:m,31,
2,2,,D:M,3,
3,0,,A:M,10,
3,3,,B:m,36,
4,0,,A:M,10,
4,2,,E:M,5,
5,0,,A:M,10,
5,2,,D:M,3,
6,0,,B:m,36,
6,1,,E:m,29,
6,2,,Gb:m,31,
6,3,,A:V,22,
7,0,,D:M,3,
7,2,,Gb:m,31,
7,3,,B:V,24,
8,0,,E:m,29,
8,1,,A:V,22,
8,2,,D:M,3,
8,3,,E:m,29,
9,0,,A:M,10,
9,1,,A:V,22,
9,1.5,,A:M,10,
9,2,,D:M,3,
10,0,,B:m,36,
10,2,,Gb:m,31,
10,2.5,,B:m,36,
10,3,,A:M,10,
11,0,,B:V,24,
11,1,,E:M,5,
11,2,,A:M,10,
12,0,,Gb:m,31,
12,1,,D:M,3,
12,2,,B:m,36,
13,0,,E:m,29,
13,0.75,,B:m,36,
13,1,,A:M,10,
13,2,,D:M,3,
