小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,C:M,1,
2,0,,C:M,1,
2,1,,D:V,15,
2,2,,G:M,8,
2,3,,C:M,1,
3,0,,G:V,20,
3,1,,C:M,1,
3,2,,F:M,6,
3,3,,C:M,1,
4,0,,C:M,1,
4,2,,A:m,34,
4,3,,E:m,29,
5,0,,F:M,6,
5,1,,G:V,20,
5,2,,C:M,1,
6,0,,C:M,1,
6,1,,D:V,15,
6,2,,G:M,8,
6,3,,C:M,1,
7,0,,G:V,20,
7,1,,C:M,1,
7,2,,F:M,6,
7,3,,C:M,1,
8,0,,C:M,1,
8,2,,A:m,34,
8,3,,E:m,29,
9,0,,F:M,6,
9,1,,G:V,20,
9,2,,C:M,1,
10,0,,D:m,27,
10,0.5,,G:M,8,
10,1,,C:M,1,
10,2,,G:M,8,
10,3,,A:m,34,
11,0,,C:M,1,
11,1,,C:V,13,
11,2,,F:M,6,
11,3,,G:V,20,
12,0,,C:M,1,
12,1,,A:m,34,
12,2,,D:V,15,
12,3,,G:M,8,
13,0,,D:M,3,
13,0.5,,G:M,8,
13,1,,D:M,3,
13,2,,G:M,8,
14,0,,C:M,1,
14,3,,G:M,8,
15,0,,F:M,6,
15,1,,C:M,1,
15,2,,D:m,27,
15,3,,G:M,8,
16,0,,C:M,1,
