小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,A:M,10,
2,0,,A:M,10,
2,1,,Gb:m,31,
2,1.5,,A:M,10,
3,0,,D:M,3,
3,1,,A:M,10,
4,0,,E:V,17,
4,1,,A:M,10,
5,0,,E:V,17,
5,1,,A:M,10,
6,0,,A:M,10,
6,1,,Gb:m,31,
6,1.5,,A:M,10,
7,0,,D:M,3,
7,1,,A:M,10,
8,0,,E:V,17,
8,1,,A:M,10,
9,0,,E:V,17,
9,1,,A:M,10,
9,1.5,,E:M,5,
10,0,,E:M,5,
11,0,,Gb:V,19,
12,0,,B:m,36,
12,1,,Ab:d,45,
13,0,,Db:M,2,
13,0.75,,Ab:d,45,
13,1,,Db:M,2,
13,1.5,,A:V,22,
14,0,,A:V,22,
15,0,,D:M,3,
15,1,,A:M,10,
16,0,,E:V,17,
16,1,,A:M,10,
17,0,,E:V,17,
18,0,,A:M,10,
