小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,B:m,36,
2,0,,D:M,3,
2,1,,G:M,8,
2,2,,D:M,3,
3,0,,D:M,3,
3,1,,A:M,10,
3,2,,D:M,3,
4,0,,A:M,10,
4,1,,E:m,29,
4,3,,B:m,36,
5,0,,Gb:M,7,
5,1,,B:m,36,
5,2,,Gb:M,7,
6,0,,B:m,36,
7,0,,D:M,3,
7,1,,G:M,8,
7,2,,D:M,3,
8,0,,D:M,3,
8,1,,A:M,10,
8,2,,D:M,3,
9,0,,A:M,10,
9,1,,E:m,29,
9,3,,B:m,36,
10,0,,Gb:M,7,
10,1,,B:m,36,
10,2,,Gb:M,7,
11,0,,B:m,36,
12,0,,E:M,5,
12,1,,E:V,17,
12,2,,Db:M,2,
12,3,,Gb:m,31,
13,0,,Gb:m,31,
13,2,,B:m,36,
13,3,,A:M,10,
14,0,,A:M,10,
14,2,,E:M,5,
14,3,,Bb:d,47,
15,0,,B:m,36,
15,1,,Bb:d,47,
15,2,,B:m,36,
15,3,,D:d,39,
16,0,,Gb:M,7,
16,3,,Gb:m,31,
17,0,,Gb:m,31,
17,1,,F:d,42,
17,1.5,,D:d,39,
17,2,,Gb:m,31,
17,3,,B:m,36,
18,0,,E:V,17,
18,1,,A:M,10,
18,2,,D:M,3,
18,3,,E:V,17,
19,0,,A:M,10,
19,1,,E:M,5,
19,2,,Bb:d,47,
19,3,,Db:d,38,
20,0,,G:d,44,
20,1,,B:m,36,
20,2,,Gb:M,7,
21,0,,B:V,24,
21,1,,E:m,29,
21,2,,B:M,12,
