小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,G:M,8,
2,0,,G:M,8,
2,2.75,,E:m,29,
3,0,,E:m,29,
3,2,,A:m,34,
4,0,,D:M,3,
4,0.75,,A:m,34,
5,0,,A:m,34,
5,2,,C:V,13,
6,0,,F:M,6,
6,2,,C:M,1,
6,2.5,,D:m,27,
7,0,,C:M,1,
7,0.75,,D:m,27,
7,1,,C:M,1,
7,2,,G:V,20,
8,0,,C:M,1,
8,2,,A:m,34,
9,0,,B:V,24,
10,0,,B:V,24,
10,0.75,,E:m,29,
10,2,,A:m,34,
11,0,,B:V,24,
12,0,,B:V,24,
12,0.75,,E:m,29,
13,0,,Ab:d,45,
14,0,,A:m,34,
14,2,,E:V,17,
14,2.5,,A:m,34,
15,0,,A:V,22,
15,1,,G:M,8,
15,2,,D:V,15,
16,0,,G:M,8,
16,0.75,,G:V,20,
17,0,,C:M,1,
18,0,,G:M,8,
18,0.75,,G:V,20,
19,0,,C:M,1,
20,0,,G:M,8,
21,0,,G:M,8,
