小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,F:m,30,
2,0,,F:m,30,
2,1,,G:m,32,
2,2,,F:m,30,
2,3,,Bb:m,35,
3,0,,C:M,1,
3,3,,Ab:M,9,
4,0,,Ab:M,9,
4,1,,C:m,25,
4,1.5,,C:M,1,
4,2,,F:m,30,
4,3,,Bb:d,47,
5,0,,C:M,1,
6,0,,F:m,30,
6,1,,C:m,25,
6,2,,F:m,30,
7,0,,Bb:m,35,
7,1,,Eb:M,4,
7,2,,Ab:M,9,
8,0,,Db:M,2,
8,1,,Bb:m,35,
8,2,,F:m,30,
8,3,,Db:M,2,
9,0,,Ab:M,9,
9,1,,Eb:M,4,
9,2,,Ab:M,9,
10,0,,Eb:M,4,
10,1,,Ab:M,9,
10,2,,F:m,30,
10,3,,Ab:M,9,
11,0,,Bb:V,23,
11,1,,G:m,32,
11,2,,Eb:M,4,
12,0,,C:M,1,
12,2,,F:m,30,
12,3,,Bb:m,35,
13,0,,Bb:m,35,
13,1,,C:M,1,
13,2,,F:M,6,
