小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,A:m,34,
2,0,,A:m,34,
2,1,,E:M,5,
2,2,,A:m,34,
2,3,,D:M,3,
3,0,,G:M,8,
3,3,,E:M,5,
4,0,,A:m,34,
4,2,,D:m,27,
4,3,,E:M,5,
5,0,,A:m,34,
6,0,,A:m,34,
6,1,,E:M,5,
6,2,,A:m,34,
6,3,,D:M,3,
7,0,,G:M,8,
7,3,,E:M,5,
8,0,,A:m,34,
8,2,,D:m,27,
8,3,,E:V,17,
9,0,,A:m,34,
10,0,,D:m,27,
10,1,,A:m,34,
10,2,,D:m,27,
10,2.5,,E:M,5,
10,3,,D:m,27,
11,0,,E:M,5,
12,0,,A:m,34,
12,1,,G:M,8,
12,2,,C:M,1,
12,3,,A:m,34,
13,0,,D:M,3,
13,2,,G:M,8,
13,3,,G:V,20,
14,0,,C:M,1,
14,1,,D:m,27,
14,2,,C:M,1,
14,3,,A:m,34,
15,0,,B:m,36,
15,1,,D:M,3,
15,2,,G:M,8,
15,3,,E:M,5,
16,0,,A:m,34,
16,2,,D:m,27,
16,3,,E:V,17,
17,0,,A:M,10,
