小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,C:M,1,
1,2,,G:M,8,
2,0,,C:M,1,
2,2,,D:M,3,
3,0,,C:M,1,
3,1,,D:V,15,
3,2,,G:M,8,
4,0,,A:m,34,
4,1,,D:M,3,
5,0,,G:M,8,
6,0,,C:M,1,
6,2,,G:M,8,
7,0,,C:M,1,
7,2,,F:M,6,
8,0,,C:M,1,
8,1,,D:m,27,
8,2,,G:M,8,
9,0,,C:M,1,
10,0,,C:M,1,
10,2,,G:M,8,
11,0,,C:M,1,
11,2,,D:M,3,
12,0,,C:M,1,
12,1,,D:V,15,
12,2,,G:M,8,
13,0,,A:m,34,
13,1,,D:M,3,
14,0,,G:M,8,
15,0,,C:M,1,
16,0,,C:M,1,
16,2,,F:M,6,
17,0,,C:M,1,
17,1,,D:m,27,
17,2,,G:M,8,
18,0,,C:M,1,
19,0,,C:M,1,
19,2,,F:M,6,
20,0,,C:V,13,
20,2,,F:M,6,
21,0,,C:M,1,
21,1,,D:m,27,
21,2,,G:M,8,
22,0,,C:M,1,
23,0,,C:M,1,
23,1,,C:V,13,
24,0,,F:M,6,
24,2,,D:M,3,
25,0,,F:M,6,
25,1,,C:M,1,
26,0,,G:M,8,
27,0,,C:M,1,
28,0,,F:M,6,
28,2,,E:m,29,
29,0,,F:M,6,
29,1,,G:M,8,
30,0,,C:M,1,
30,2,,C:V,13,
31,0,,F:M,6,
32,0,,C:M,1,
33,0,,G:V,20,
33,2,,C:M,1,
34,0,,D:m,27,
34,1,,G:M,8,
34,2,,C:M,1,
35,0,,G:M,8,
35,2,,G:V,20,
36,0,,C:M,1,
