小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,G:M,8,
2,0,,G:M,8,
2,1,,D:M,3,
2,2,,G:M,8,
2,3,,C:M,1,
3,0,,G:M,8,
3,1,,D:M,3,
3,2,,G:M,8,
3,3,,C:M,1,
4,0,,D:M,3,
4,1,,C:M,1,
4,2,,G:M,8,
4,3,,C:M,1,
5,0,,C:M,1,
5,1,,D:M,3,
5,2,,G:M,8,
6,0,,G:M,8,
6,1,,D:M,3,
6,2,,G:M,8,
6,3,,C:M,1,
7,0,,G:M,8,
7,1,,D:M,3,
7,2,,G:M,8,
7,3,,C:M,1,
8,0,,D:M,3,
8,1,,C:M,1,
8,2,,G:M,8,
8,3,,C:M,1,
9,0,,C:M,1,
9,1,,D:M,3,
9,2,,G:M,8,
9,3,,C:M,1,
10,0,,C:M,1,
10,0.5,,A:V,22,
10,1,,D:M,3,
11,0,,D:M,3,
11,1,,B:m,36,
11,2,,E:m,29,
12,0,,A:M,10,
12,1,,A:V,22,
12,2,,D:M,3,
12,3,,G:M,8,
13,0,,G:M,8,
13,1,,A:M,10,
13,2,,D:M,3,
13,3,,G:M,8,
14,0,,C:M,1,
14,1,,G:M,8,
14,1.5,,D:M,3,
14,3,,G:M,8,
15,0,,D:M,3,
15,2,,G:M,8,
