小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,G:M,8,
1,1.5,,Eb:M,4,
1,2,,C:m,25,
2,0,,B:d,48,
2,1,,Ab:d,45,
2,2,,F:d,42,
2,3.5,,B:M,12,
3,0,,Eb:M,4,
3,1,,B:M,12,
3,1.5,,G:M,8,
3,2,,C:M,1,
3,2.5,,C:m,25,
3,3,,D:M,3,
3,3.5,,G:M,8,
4,0,,Eb:M,4,
4,1,,B:M,12,
4,1.5,,G:M,8,
4,2,,C:M,1,
4,2.5,,C:m,25,
4,3,,F:M,6,
4,3.5,,E:M,5,
5,0,,F:M,6,
5,1.5,,D:M,3,
5,2,,Bb:M,11,
6,0,,A:d,46,
6,1,,Gb:d,43,
6,2,,Eb:d,40,
6,3.5,,A:M,10,
7,0,,Db:M,2,
7,1,,A:M,10,
7,1.5,,F:M,6,
7,2,,Bb:M,11,
7,2.5,,Bb:m,35,
7,3,,C:M,1,
7,3.5,,F:M,6,
8,0,,Db:M,2,
8,1,,A:M,10,
8,1.5,,F:M,6,
8,2,,Bb:M,11,
8,2.5,,Bb:m,35,
