小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,G:M,8,
2,0.5,,D:V,15,
2,1,,D:M,3,
2,2,,G:M,8,
2,3,,E:m,29,
2,3.5,,C:M,1,
3,0,,F:M,6,
3,1,,G:M,8,
3,2,,C:M,1,
3,3,,G:M,8,
4,0,,D:M,3,
4,1,,E:m,29,
4,1.5,,G:M,8,
4,2,,C:M,1,
4,3.5,,Gb:d,43,
5,0,,G:M,8,
5,2,,D:M,3,
6,0,,G:M,8,
7,0,,D:M,3,
7,0.5,,Gb:d,43,
7,1,,B:M,12,
7,2,,E:m,29,
7,3,,A:M,10,
8,0,,D:M,3,
8,1,,E:m,29,
8,1.5,,Db:d,38,
8,2,,D:M,3,
8,3,,B:M,12,
9,0,,E:m,29,
9,0.5,,G:M,8,
9,1,,C:M,1,
9,2,,G:M,8,
9,3,,E:m,29,
9,3.5,,Gb:m,31,
10,0,,E:m,29,
10,1,,G:M,8,
10,2,,D:M,3,
10,3.5,,D:V,15,
11,0,,G:M,8,
