小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,A:M,10,
1,0.66667,,A:m,34,
1,1,,A:M,10,
1,1.6667,,A:m,34,
1,2,,A:M,10,
1,2.325,,A:m,34,
1,2.6667,,A:M,10,
2,0,,B:M,12,
2,2.325,,E:M,5,
2,2.6667,,B:M,12,
3,0,,C:M,1,
4,0,,D:M,3,
4,0.66667,,D:d,39,
4,1,,D:M,3,
4,1.6667,,D:d,39,
4,2,,D:M,3,
4,2.325,,D:d,39,
4,2.6667,,D:M,3,
5,0,,C:M,1,
6,0,,D:M,3,
6,0.325,,D:V,15,
6,0.66667,,D:m,27,
6,1,,D:M,3,
6,1.6667,,D:m,27,
6,2,,D:M,3,
6,2.6667,,D:m,27,
7,0,,E:V,17,
7,0.66667,,E:M,5,
7,1,,C:M,1,
7,1.325,,A:m,34,
7,1.6667,,E:M,5,
7,2.6667,,E:V,17,
8,0,,A:m,34,
8,1,,A:M,10,
8,2,,G:M,8,
