小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,C:m,25,
1,0.25,,Eb:M,4,
1,0.5,,Ab:M,9,
1,0.75,,C:m,25,
1,1.25,,Eb:M,4,
1,1.5,,Ab:M,9,
1,1.75,,C:m,25,
2,0,,Db:M,2,
2,0.5,,Bb:m,35,
2,1,,Db:M,2,
2,1.5,,Bb:m,35,
3,0,,Ab:M,9,
3,0.25,,C:M,1,
3,0.5,,Ab:M,9,
3,1,,Eb:M,4,
3,1.25,,Bb:M,11,
3,1.375,,Bb:V,23,
3,1.5,,Db:M,2,
3,1.75,,G:d,44,
3,1.875,,C:m,25,
4,0,,Ab:M,9,
4,0.25,,C:M,1,
4,0.5,,Ab:M,9,
4,1.25,,C:M,1,
4,1.5,,Eb:M,4,
4,1.75,,Ab:M,9,
5,0.75,,C:M,1,
5,1,,Ab:M,9,
5,1.75,,C:M,1,
6,0,,G:M,8,
6,0.5,,Eb:M,4,
6,0.75,,D:M,3,
6,1,,G:M,8,
6,1.25,,C:M,1,
6,1.75,,Eb:M,4,
7,0,,Gb:M,7,
7,0.25,,Eb:m,28,
7,0.5,,Eb:d,40,
7,0.75,,C:m,25,
7,1,,Gb:M,7,
7,1.5,,A:m,34,
7,1.75,,C:M,1,
8,0,,G:M,8,
8,0.5,,G:V,20,
8,1,,C:m,25,
8,1.5,,G:M,8,
9,0,,Eb:M,4,
9,0.75,,C:m,25,
9,1,,D:M,3,
9,1.25,,G:m,32,
9,1.5,,Db:M,2,
9,1.75,,G:d,44,
10,0,,D:M,3,
10,0.25,,Gb:M,7,
10,0.5,,D:M,3,
10,1,,Bb:M,11,
10,1.25,,Eb:M,4,
10,1.5,,G:m,32,
10,1.75,,Eb:M,4,
11,0,,A:d,46,
11,0.25,,Eb:M,4,
11,0.5,,G:M,8,
11,0.75,,A:d,46,
11,1,,D:M,3,
12,0,,G:m,32,
12,0.5,,G:M,8,
12,0.75,,Bb:M,11,
