小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,Ab:M,9,
1,1,,Db:d,38,
1,1.25,,Db:M,2,
1,1.5,,Db:d,38,
1,1.75,,Eb:V,16,
2,0,,C:m,25,
2,0.75,,Eb:M,4,
2,1.25,,G:M,8,
2,1.5,,G:d,44,
3,0,,Ab:M,9,
3,0.5,,Eb:M,4,
3,0.75,,G:M,8,
3,1,,F:m,30,
3,1.5,,Bb:M,11,
3,1.75,,F:m,30,
4,0,,Eb:M,4,
5,0,,Db:M,2,
5,0.75,,Bb:m,35,
5,1,,Db:d,38,
5,1.25,,Db:M,2,
5,1.5,,Db:d,38,
5,1.75,,Db:M,2,
5,1.875,,Eb:V,16,
6,0,,C:m,25,
6,0.75,,Eb:M,4,
6,1,,F:V,18,
6,1.25,,F:M,6,
6,1.5,,F:V,18,
6,1.75,,F:M,6,
7,0,,Bb:m,35,
7,1,,Eb:V,16,
7,1.75,,Db:d,38,
8,0,,G:d,44,
8,0.25,,Ab:M,9,
8,0.5,,G:d,44,
8,0.75,,Ab:M,9,
