小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,C:M,1,
2,0,,C:d,37,
2,0.5,,G:M,8,
2,1,,Ab:V,21,
3,0,,C:d,37,
3,0.5,,G:M,8,
3,1,,Ab:V,21,
4,0,,Ab:M,9,
4,0.5,,G:M,8,
4,1,,C:d,37,
4,1.5,,G:M,8,
5,0,,Ab:M,9,
5,0.5,,G:M,8,
5,1,,C:d,37,
5,1.5,,G:M,8,
6,0,,C:M,1,
6,0.5,,C:m,25,
6,1,,E:d,41,
7,0,,A:M,10,
7,0.5,,A:V,22,
7,1,,Db:d,38,
8,0.5,,D:m,27,
8,1,,G:d,44,
8,1.5,,D:m,27,
9,0,,Bb:d,47,
9,0.5,,D:m,27,
9,1,,Db:d,38,
9,1.5,,D:m,27,
10,0,,F:M,6,
10,0.5,,Eb:d,40,
10,1.5,,Eb:M,4,
11,0,,Gb:M,7,
11,0.5,,A:M,10,
11,1,,C:M,1,
11,1.5,,G:M,8,
12,0,,C:M,1,
