小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,B:M,12,
1,2,,Eb:m,28,
1,2.6667,,B:M,12,
1,3,,Gb:M,7,
1,3.6667,,B:M,12,
2,2,,Eb:m,28,
2,2.6667,,B:M,12,
2,3,,Gb:M,7,
2,3.6667,,B:M,12,
3,0.66667,,Gb:M,7,
3,1.325,,B:M,12,
3,1.6667,,Gb:M,7,
3,2,,Db:d,38,
3,2.325,,Gb:M,7,
3,3,,Gb:V,19,
3,3.325,,Gb:M,7,
3,3.6667,,Gb:V,19,
4,0,,B:M,12,
4,0.66667,,Gb:M,7,
4,1.325,,B:M,12,
4,1.6667,,Gb:M,7,
4,2,,Db:d,38,
4,2.325,,Gb:M,7,
4,3,,Gb:V,19,
4,3.325,,Gb:M,7,
4,3.6667,,Gb:V,19,
5,0,,B:M,12,
5,2,,Eb:m,28,
5,2.6667,,B:M,12,
5,3,,Gb:M,7,
5,3.6667,,B:M,12,
6,0,,C:m,25,
6,0.325,,A:d,46,
6,0.66667,,Gb:M,7,
6,1,,Eb:m,28,
6,1.325,,C:d,37,
6,1.6667,,A:M,10,
6,2,,A:m,34,
6,2.325,,Gb:d,43,
6,2.6667,,Eb:M,4,
6,3,,F:M,6,
6,3.6667,,Eb:M,4,
7,0,,Bb:m,35,
7,0.66667,,Bb:M,11,
7,1.325,,Bb:m,35,
7,1.6667,,Bb:M,11,
7,2,,Db:M,2,
7,2.6667,,Bb:M,11,
7,3,,F:M,6,
7,3.6667,,Bb:M,11,
8,0,,Bb:m,35,
8,0.66667,,Bb:M,11,
8,1.325,,Bb:m,35,
8,1.6667,,Bb:M,11,
8,2,,Db:M,2,
8,2.6667,,Bb:M,11,
8,3,,F:M,6,
8,3.6667,,Bb:M,11,
9,0,,Bb:m,35,
9,0.66667,,F:M,6,
9,1,,Db:M,2,
9,1.6667,,Bb:M,11,
9,2,,G:m,32,
9,2.325,,E:d,41,
9,2.6667,,Db:M,2,
9,3,,Ab:M,9,
9,3.325,,Ab:V,21,
9,3.6667,,Eb:M,4,
10,0,,Db:M,2,
10,3,,Ab:M,9,
10,3.325,,F:m,30,
10,3.6667,,Db:M,2,
13,0,,Gb:M,7,
13,2,,Db:M,2,
14,1.5,,C:d,37,
14,2,,Db:M,2,
14,3.5,,Db:m,26,
15,0,,Db:M,2,
15,3,,F:M,6,
15,3.325,,Db:M,2,
17,0,,C:d,37,
17,3,,C:M,1,
17,3.5,,A:m,34,
18,0,,B:V,24,
18,0.5,,B:M,12,
18,2,,B:V,24,
18,2.5,,Ab:m,33,
18,3,,B:M,12,
19,0,,E:M,5,
19,3,,Ab:M,9,
19,3.325,,E:M,5,
