小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,G:m,32,
1,0.5,,D:M,3,
1,1,,G:m,32,
1,1.5,,D:V,15,
1,2,,D:M,3,
1,3,,G:m,32,
2,0,,A:m,34,
2,0.5,,Gb:d,43,
2,1,,G:m,32,
2,1.5,,G:M,8,
2,2,,A:d,46,
2,3,,D:M,3,
3,0,,G:m,32,
3,2.5,,Bb:M,11,
3,3,,Eb:M,4,
3,3.5,,G:m,32,
4,0,,A:d,46,
4,0.5,,D:M,3,
4,1,,Eb:M,4,
4,1.5,,C:m,25,
4,2,,Gb:d,43,
4,3,,G:m,32,
4,3.5,,G:M,8,
5,0,,D:M,3,
6,1,,G:m,32,
6,2,,C:M,1,
6,3,,F:M,6,
7,0,,Bb:M,11,
7,0.5,,D:m,27,
7,1,,F:M,6,
7,1.5,,G:m,32,
7,2,,C:M,1,
8,0,,F:M,6,
8,2,,Bb:M,11,
8,3,,F:M,6,
9,0,,Bb:M,11,
9,2,,Eb:M,4,
9,2.5,,A:d,46,
9,3,,G:m,32,
10,0,,C:m,25,
10,1,,F:M,6,
10,2,,Bb:M,11,
11,0,,F:M,6,
11,1,,G:m,32,
11,2,,A:m,34,
11,2.5,,A:d,46,
11,3,,Bb:M,11,
11,3.5,,A:V,22,
12,0,,D:V,15,
12,0.5,,D:M,3,
12,1,,G:m,32,
12,2,,D:M,3,
13,0,,G:m,32,
13,0.5,,A:V,22,
13,1.5,,D:M,3,
13,2,,G:m,32,
13,3,,C:m,25,
13,3.5,,G:m,32,
14,0,,C:m,25,
14,0.5,,A:m,34,
14,1,,D:M,3,
14,2,,G:M,8,
