小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,G:M,8,
2,2.75,,E:m,29,
3,1,,G:M,8,
3,2,,A:m,34,
3,2.5,,C:M,1,
4,0,,D:M,3,
4,0.75,,A:m,34,
5,2,,C:V,13,
6,0,,F:M,6,
6,2,,C:M,1,
6,2.5,,F:M,6,
7,0,,C:M,1,
7,0.75,,F:M,6,
7,1,,C:M,1,
7,2,,G:V,20,
7,2.5,,G:M,8,
8,0,,C:M,1,
8,2,,A:m,34,
9,0,,B:M,12,
10,0.75,,E:m,29,
10,2,,A:m,34,
11,0,,B:M,12,
11,2,,B:V,24,
11,2.75,,B:M,12,
12,0.75,,E:m,29,
13,0,,D:d,39,
14,0,,C:M,1,
14,1,,A:m,34,
14,2,,E:V,17,
14,2.5,,A:m,34,
15,0,,A:V,22,
15,1,,G:M,8,
15,2,,D:M,3,
16,0,,G:M,8,
16,1,,G:V,20,
16,1.5,,B:d,48,
16,2,,G:V,20,
17,0,,C:M,1,
18,0,,G:M,8,
19,0,,C:M,1,
20,0,,G:M,8,
21,0,,G:M,8,
