小節,拍數(onset),調性,和弦,和弦編號,備註
1,0,,Gb:m,31,
1,3,,D:M,3,
1,3.5,,B:m,36,
1,4,,Gb:M,7,
1,4.5,,F:M,6,
1,5,,B:M,12,
1,5.5,,Db:V,14,
2,0,,Gb:M,7,
2,0.25,,Gb:m,31,
2,0.5,,Gb:M,7,
2,1,,Gb:m,31,
2,1.5,,B:m,36,
2,3,,Gb:m,31,
2,4,,Db:M,2,
2,4.125,,Gb:m,31,
2,4.25,,Db:M,2,
2,4.375,,Gb:m,31,
2,4.5,,Db:M,2,
3,0,,Gb:m,31,
3,1.5,,Ab:m,33,
3,2.5,,Ab:d,45,
3,3,,A:m,34,
3,4.5,,Gb:m,31,
4,0,,Eb:d,40,
4,0.5,,Eb:M,4,
4,0.75,,Eb:d,40,
4,1,,Eb:M,4,
4,1.25,,A:d,46,
4,1.5,,F:M,6,
4,1.75,,F:m,30,
4,2.75,,Db:M,2,
4,3,,Gb:M,7,
4,4.5,,D:M,3,
5,0,,G:M,8,
5,4,,D:M,3,
5,4.5,,G:M,8,
5,5,,B:M,12,
5,5.5,,D:M,3,
6,0,,Gb:m,31,
6,0.75,,Db:M,2,
6,1,,Gb:m,31,
6,2.5,,Db:M,2,
6,3,,Gb:m,31,
